date,product_id,product_name,price,units,rating
2024-01-25,P1004,Delta Power Bank,1036.39,14,4.9
2024-01-25,P1005,Epsilon Charger,766.46,3,4.3
2024-01-26,P1001,Alpha Watch,1974.76,8,4.2
2024-01-26,P1002,Beta Earbuds,1506.61,6,3.4
2024-01-26,P1003,Gamma Phone Case,416.73,20,2.6
2024-01-26,P1004,Delta Power Bank,988.39,20,4.4
2024-01-26,P1005,Epsilon Charger,815.91,8,3.5
2024-01-27,P1001,Alpha Watch,1989.16,10,4.9
2024-01-27,P1002,Beta Earbuds,1469.31,14,2.7
2024-01-27,P1003,Gamma Phone Case,379.98,19,3.6
2024-01-27,P1004,Delta Power Bank,979.36,12,4.7
2024-01-27,P1005,Epsilon Charger,821.32,14,4.1
2024-01-28,P1001,Alpha Watch,1905.53,14,5.0
2024-01-28,P1002,Beta Earbuds,1539.16,17,4.1
2024-01-28,P1003,Gamma Phone Case,311.08,28,3.9
2024-01-28,P1004,Delta Power Bank,984.22,8,4.5
2024-01-28,P1005,Epsilon Charger,771.4,15,4.2
2024-01-29,P1001,Alpha Watch,1946.87,0,4.0
2024-01-29,P1002,Beta Earbuds,1538.89,9,4.6
2024-01-29,P1003,Gamma Phone Case,406.9,17,3.5
2024-01-29,P1004,Delta Power Bank,797.78,9,3.5
2024-01-29,P1005,Epsilon Charger,796.68,12,4.3
2024-01-30,P1001,Alpha Watch,1963.36,10,5.0
2024-01-30,P1002,Beta Earbuds,1532.64,16,4.3
2024-01-30,P1003,Gamma Phone Case,398.33,17,4.2
2024-01-30,P1004,Delta Power Bank,969.29,15,3.7
2024-01-30,P1005,Epsilon Charger,829.06,2,3.6
2024-01-31,P1001,Alpha Watch,2094.47,7,3.3
2024-01-31,P1002,Beta Earbuds,1528.3,12,4.9
2024-01-31,P1003,Gamma Phone Case,395.2,19,3.4
2024-01-31,P1004,Delta Power Bank,971.96,8,4.3
2024-01-31,P1005,Epsilon Charger,825.74,4,4.1
2024-02-01,P1001,Alpha Watch,2060.51,9,3.4
2024-02-01,P1002,Beta Earbuds,1533.38,6,3.8
2024-02-01,P1003,Gamma Phone Case,407.77,17,3.2
2024-02-01,P1004,Delta Power Bank,1040.79,11,3.2
2024-02-01,P1005,Epsilon Charger,828.67,6,5.0
2024-02-02,P1001,Alpha Watch,2015.46,9,4.0
2024-02-02,P1002,Beta Earbuds,1460.42,9,4.4
2024-02-02,P1003,Gamma Phone Case,399.67,20,3.9
2024-02-02,P1004,Delta Power Bank,976.06,9,5.0
2024-02-02,P1005,Epsilon Charger,801.79,10,3.5
2024-02-03,P1001,Alpha Watch,2026.63,12,3.3
2024-02-03,P1002,Beta Earbuds,1562.58,14,3.3
2024-02-03,P1003,Gamma Phone Case,395.14,23,3.7
2024-02-03,P1004,Delta Power Bank,989.8,10,4.1
2024-02-03,P1005,Epsilon Charger,810.86,10,4.3
2024-02-04,P1001,Alpha Watch,1910.47,7,3.1
2024-02-04,P1002,Beta Earbuds,1522.87,17,4.2
2024-02-04,P1003,Gamma Phone Case,395.43,19,3.6
2024-02-04,P1004,Delta Power Bank,985.07,9,3.7
2024-02-04,P1005,Epsilon Charger,764.63,10,5.0
2024-02-05,P1001,Alpha Watch,1968.69,9,4.2
2024-02-05,P1002,Beta Earbuds,1480.51,9,4.1
2024-02-05,P1003,Gamma Phone Case,385.05,18,3.7
2024-02-05,P1004,Delta Power Bank,819.91,10,3.5
2024-02-05,P1005,Epsilon Charger,771.78,12,3.5
2024-02-06,P1001,Alpha Watch,1909.05,8,3.8
2024-02-06,P1002,Beta Earbuds,1506.53,14,4.2
2024-02-06,P1003,Gamma Phone Case,409.33,17,5.0
2024-02-06,P1004,Delta Power Bank,1014.24,11,3.0
2024-02-06,P1005,Epsilon Charger,818.13,9,5.0
2024-02-07,P1001,Alpha Watch,2013.79,7,5.0
2024-02-07,P1002,Beta Earbuds,1199.47,10,3.5
2024-02-07,P1003,Gamma Phone Case,381.28,18,4.4
2024-02-07,P1004,Delta Power Bank,1002.66,12,3.9
2024-02-07,P1005,Epsilon Charger,805.54,7,4.1
2024-02-08,P1001,Alpha Watch,2058.02,5,4.5
2024-02-08,P1002,Beta Earbuds,1475.04,16,4.6
2024-02-08,P1003,Gamma Phone Case,386.14,19,3.5
2024-02-08,P1004,Delta Power Bank,949.49,5,3.8
2024-02-08,P1005,Epsilon Charger,774.48,12,3.5
2024-02-09,P1001,Alpha Watch,1932.25,14,4.3
2024-02-09,P1002,Beta Earbuds,1432.28,12,3.2
2024-02-09,P1003,Gamma Phone Case,321.04,13,3.7
2024-02-09,P1004,Delta Power Bank,964.1,6,3.3
2024-02-09,P1005,Epsilon Charger,783.92,8,3.9
2024-02-10,P1001,Alpha Watch,1927.61,6,3.2
2024-02-10,P1002,Beta Earbuds,1570.62,11,4.4
2024-02-10,P1003,Gamma Phone Case,379.7,27,2.9
2024-02-10,P1004,Delta Power Bank,1018.74,11,4.5
2024-02-10,P1005,Epsilon Charger,815.88,8,4.4
2024-02-11,P1001,Alpha Watch,2013.88,4,3.6
2024-02-11,P1002,Beta Earbuds,1425.26,15,4.3
2024-02-11,P1003,Gamma Phone Case,408.67,19,3.9
2024-02-11,P1004,Delta Power Bank,985.98,14,4.1
2024-02-11,P1005,Epsilon Charger,804.83,12,5.0
2024-02-12,P1001,Alpha Watch,1543.99,3,4.1
2024-02-12,P1002,Beta Earbuds,1481.61,13,3.4
2024-02-12,P1003,Gamma Phone Case,417.06,15,3.8
2024-02-12,P1004,Delta Power Bank,1037.43,9,4.1
2024-02-12,P1005,Epsilon Charger,629.79,7,4.1
2024-02-13,P1001,Alpha Watch,2010.34,12,3.9
2024-02-13,P1002,Beta Earbuds,1449.6,14,4.1
2024-02-13,P1003,Gamma Phone Case,381.05,22,3.6
2024-02-13,P1004,Delta Power Bank,953.63,11,3.7
2024-02-13,P1005,Epsilon Charger,807.75,7,3.7
2024-02-14,P1001,Alpha Watch,1976.64,7,4.2
2024-02-14,P1002,Beta Earbuds,1434.54,14,3.2
2024-02-14,P1003,Gamma Phone Case,405.77,22,3.9
2024-02-14,P1004,Delta Power Bank,995.66,9,4.4
2024-02-14,P1005,Epsilon Charger,766.55,7,4.4
2024-02-15,P1001,Alpha Watch,2081.25,7,2.6
2024-02-15,P1002,Beta Earbuds,1535.87,11,3.8
2024-02-15,P1003,Gamma Phone Case,414.06,22,3.9
2024-02-15,P1004,Delta Power Bank,1009.79,4,3.8
2024-02-15,P1005,Epsilon Charger,811.66,3,3.7
2024-02-16,P1001,Alpha Watch,2082.74,10,3.4
2024-02-16,P1002,Beta Earbuds,1523.42,9,5.0
2024-02-16,P1003,Gamma Phone Case,392.89,17,3.3
2024-02-16,P1004,Delta Power Bank,990.45,12,3.8
2024-02-16,P1005,Epsilon Charger,801.85,7,3.6
2024-02-17,P1001,Alpha Watch,1986.41,10,4.2
2024-02-17,P1002,Beta Earbuds,1529.08,18,5.0
2024-02-17,P1003,Gamma Phone Case,383.35,26,5.0
2024-02-17,P1004,Delta Power Bank,1015.19,16,4.4
2024-02-17,P1005,Epsilon Charger,622.25,14,4.4
2024-02-18,P1001,Alpha Watch,1951.29,13,4.2
2024-02-18,P1002,Beta Earbuds,1453.54,15,3.2
2024-02-18,P1003,Gamma Phone Case,409.54,24,3.2
2024-02-18,P1004,Delta Power Bank,956.54,9,3.8
2024-02-18,P1005,Epsilon Charger,794.92,13,4.6
2024-02-19,P1001,Alpha Watch,1957.79,5,4.5
2024-02-19,P1002,Beta Earbuds,1462.11,12,2.7
2024-02-19,P1003,Gamma Phone Case,407.84,20,3.3
2024-02-19,P1004,Delta Power Bank,1005.93,7,3.5
2024-02-19,P1005,Epsilon Charger,798.36,8,3.5
2024-02-20,P1001,Alpha Watch,2006.84,8,3.9
2024-02-20,P1002,Beta Earbuds,1465.11,16,4.7
2024-02-20,P1003,Gamma Phone Case,316.64,17,3.0
2024-02-20,P1004,Delta Power Bank,958.99,11,4.5
2024-02-20,P1005,Epsilon Charger,830.6,6,4.2
2024-02-21,P1001,Alpha Watch,1984.96,12,4.3
2024-02-21,P1002,Beta Earbuds,1523.89,11,3.8
2024-02-21,P1003,Gamma Phone Case,416.59,19,4.3
2024-02-21,P1004,Delta Power Bank,1008.79,6,5.0
2024-02-21,P1005,Epsilon Charger,802.6,9,3.6
2024-02-22,P1001,Alpha Watch,1983.72,5,4.6
2024-02-22,P1002,Beta Earbuds,1472.61,15,3.1
2024-02-22,P1003,Gamma Phone Case,394.73,24,3.9
2024-02-22,P1004,Delta Power Bank,965.98,12,3.7
2024-02-22,P1005,Epsilon Charger,797.05,10,4.4
2024-02-23,P1001,Alpha Watch,2030.22,11,4.8
2024-02-23,P1002,Beta Earbuds,1504.62,8,3.5
2024-02-23,P1003,Gamma Phone Case,407.49,20,3.1
2024-02-23,P1004,Delta Power Bank,963.15,7,3.3
2024-02-23,P1005,Epsilon Charger,810.76,7,4.0
2024-02-24,P1001,Alpha Watch,2034.04,11,4.5
2024-02-24,P1002,Beta Earbuds,1441.61,15,4.0
2024-02-24,P1003,Gamma Phone Case,413.86,27,4.1
2024-02-24,P1004,Delta Power Bank,1046.64,15,3.9
2024-02-24,P1005,Epsilon Charger,828.33,11,4.2
2024-02-25,P1001,Alpha Watch,2080.38,7,2.9
2024-02-25,P1002,Beta Earbuds,1465.26,15,4.7
2024-02-25,P1003,Gamma Phone Case,387.04,20,4.0
2024-02-25,P1004,Delta Power Bank,978.99,11,4.1
2024-02-25,P1005,Epsilon Charger,640.87,14,4.5
2024-02-26,P1001,Alpha Watch,1985.26,6,5.0
2024-02-26,P1002,Beta Earbuds,1553.68,15,4.3
2024-02-26,P1003,Gamma Phone Case,415.95,25,4.1
2024-02-26,P1004,Delta Power Bank,988.84,14,4.5
2024-02-26,P1005,Epsilon Charger,822.28,6,3.0
2024-02-27,P1001,Alpha Watch,2028.6,10,3.9
2024-02-27,P1002,Beta Earbuds,1469.51,17,4.1
2024-02-27,P1003,Gamma Phone Case,379.39,19,4.5
2024-02-27,P1004,Delta Power Bank,984.11,14,3.1
2024-02-27,P1005,Epsilon Charger,805.85,6,3.4
2024-02-28,P1001,Alpha Watch,2036.48,10,4.6
2024-02-28,P1002,Beta Earbuds,1487.2,13,2.9
2024-02-28,P1003,Gamma Phone Case,408.07,18,4.4
2024-02-28,P1004,Delta Power Bank,992.52,9,4.0
2024-02-28,P1005,Epsilon Charger,799.0,10,4.5
2024-02-29,P1001,Alpha Watch,2092.59,11,4.9
2024-02-29,P1002,Beta Earbuds,1571.06,14,3.4
2024-02-29,P1003,Gamma Phone Case,382.85,17,4.0
2024-02-29,P1004,Delta Power Bank,1041.51,8,3.9
2024-02-29,P1005,Epsilon Charger,785.16,10,3.2
2024-03-01,P1001,Alpha Watch,1604.19,5,4.3
2024-03-01,P1002,Beta Earbuds,1463.12,13,4.4
2024-03-01,P1003,Gamma Phone Case,381.47,15,3.3
2024-03-01,P1004,Delta Power Bank,995.09,9,3.4
2024-03-01,P1005,Epsilon Charger,771.25,11,3.0
2024-03-02,P1001,Alpha Watch,2020.64,11,5.0
2024-03-02,P1002,Beta Earbuds,1453.58,11,4.1
2024-03-02,P1003,Gamma Phone Case,383.93,23,3.5
2024-03-02,P1004,Delta Power Bank,1002.89,14,3.3
2024-03-02,P1005,Epsilon Charger,779.85,8,4.6
2024-03-03,P1001,Alpha Watch,1972.4,9,4.0
2024-03-03,P1002,Beta Earbuds,1468.31,13,5.0
2024-03-03,P1003,Gamma Phone Case,381.68,26,4.1
2024-03-03,P1004,Delta Power Bank,989.61,10,3.6
2024-03-03,P1005,Epsilon Charger,837.02,16,4.0
2024-03-04,P1001,Alpha Watch,2094.94,8,3.4
2024-03-04,P1002,Beta Earbuds,1163.95,9,3.6
2024-03-04,P1003,Gamma Phone Case,379.56,18,3.9
2024-03-04,P1004,Delta Power Bank,986.68,9,3.1
2024-03-04,P1005,Epsilon Charger,793.89,4,3.9
2024-03-05,P1001,Alpha Watch,1936.88,11,3.4
2024-03-05,P1002,Beta Earbuds,1521.17,10,3.9
2024-03-05,P1003,Gamma Phone Case,382.56,22,3.9
2024-03-05,P1004,Delta Power Bank,1006.86,15,4.1
2024-03-05,P1005,Epsilon Charger,633.57,6,3.8
2024-03-06,P1001,Alpha Watch,1990.77,3,3.4
2024-03-06,P1002,Beta Earbuds,1540.49,12,3.3
2024-03-06,P1003,Gamma Phone Case,418.61,16,4.0
2024-03-06,P1004,Delta Power Bank,972.51,7,4.2
2024-03-06,P1005,Epsilon Charger,770.27,13,4.2
2024-03-07,P1001,Alpha Watch,1901.69,11,5.0
2024-03-07,P1002,Beta Earbuds,1567.81,9,4.4
2024-03-07,P1003,Gamma Phone Case,416.13,19,2.7
2024-03-07,P1004,Delta Power Bank,1003.52,8,3.7
2024-03-07,P1005,Epsilon Charger,765.11,9,3.2
2024-03-08,P1001,Alpha Watch,2050.15,11,4.0
2024-03-08,P1002,Beta Earbuds,1514.34,9,4.5
2024-03-08,P1003,Gamma Phone Case,413.81,16,4.1
2024-03-08,P1004,Delta Power Bank,1033.76,11,3.6
2024-03-08,P1005,Epsilon Charger,834.84,7,3.9
2024-03-09,P1001,Alpha Watch,2071.44,11,4.1
2024-03-09,P1002,Beta Earbuds,1435.69,12,4.6
2024-03-09,P1003,Gamma Phone Case,397.15,21,4.3
2024-03-09,P1004,Delta Power Bank,798.32,12,4.4
2024-03-09,P1005,Epsilon Charger,664.34,11,4.9
2024-03-10,P1001,Alpha Watch,1978.26,10,3.8
2024-03-10,P1002,Beta Earbuds,1490.97,15,2.7
2024-03-10,P1003,Gamma Phone Case,380.85,27,4.2
2024-03-10,P1004,Delta Power Bank,951.52,15,4.0
2024-03-10,P1005,Epsilon Charger,760.67,9,4.2
2024-03-11,P1001,Alpha Watch,1928.07,6,3.6
2024-03-11,P1002,Beta Earbuds,1496.43,6,2.6
2024-03-11,P1003,Gamma Phone Case,400.09,15,4.1
2024-03-11,P1004,Delta Power Bank,958.2,10,3.3
2024-03-11,P1005,Epsilon Charger,794.66,10,3.6
2024-03-12,P1001,Alpha Watch,2067.7,5,5.0
2024-03-12,P1002,Beta Earbuds,1177.83,9,5.0
2024-03-12,P1003,Gamma Phone Case,418.74,20,2.9
2024-03-12,P1004,Delta Power Bank,1002.84,6,3.9
2024-03-12,P1005,Epsilon Charger,784.55,6,4.0
2024-03-13,P1001,Alpha Watch,1955.02,8,3.9
2024-03-13,P1002,Beta Earbuds,1535.92,17,3.7
2024-03-13,P1003,Gamma Phone Case,387.26,23,4.0
2024-03-13,P1004,Delta Power Bank,1013.25,4,3.5
2024-03-13,P1005,Epsilon Charger,811.46,12,3.4
2024-03-14,P1001,Alpha Watch,1901.06,8,3.7
2024-03-14,P1002,Beta Earbuds,1557.71,14,3.0
2024-03-14,P1003,Gamma Phone Case,379.23,19,3.9
2024-03-14,P1004,Delta Power Bank,957.43,8,4.5
2024-03-14,P1005,Epsilon Charger,824.33,11,4.3
2024-03-15,P1001,Alpha Watch,2019.96,6,4.1
2024-03-15,P1002,Beta Earbuds,1449.6,14,4.9
2024-03-15,P1003,Gamma Phone Case,403.33,19,3.5
2024-03-15,P1004,Delta Power Bank,979.85,7,3.8
2024-03-15,P1005,Epsilon Charger,830.65,7,4.4
2024-03-16,P1001,Alpha Watch,2074.66,12,3.0
2024-03-16,P1002,Beta Earbuds,1460.43,18,3.7
2024-03-16,P1003,Gamma Phone Case,393.39,25,2.9
2024-03-16,P1004,Delta Power Bank,831.7,9,4.1
2024-03-16,P1005,Epsilon Charger,793.26,9,4.5
2024-03-17,P1001,Alpha Watch,1937.86,6,4.1
2024-03-17,P1002,Beta Earbuds,1204.28,10,3.6
2024-03-17,P1003,Gamma Phone Case,389.04,28,4.4
2024-03-17,P1004,Delta Power Bank,978.18,8,4.8
2024-03-17,P1005,Epsilon Charger,820.12,13,3.6
2024-03-18,P1001,Alpha Watch,1953.46,9,4.6
2024-03-18,P1002,Beta Earbuds,1513.56,14,2.3
2024-03-18,P1003,Gamma Phone Case,411.91,18,3.2
2024-03-18,P1004,Delta Power Bank,989.2,10,3.6
2024-03-18,P1005,Epsilon Charger,775.26,7,4.3
2024-03-19,P1001,Alpha Watch,1902.12,8,3.7
2024-03-19,P1002,Beta Earbuds,1465.46,14,4.3
2024-03-19,P1003,Gamma Phone Case,417.37,18,4.4
2024-03-19,P1004,Delta Power Bank,995.49,6,3.5
2024-03-19,P1005,Epsilon Charger,790.63,6,3.2
2024-03-20,P1001,Alpha Watch,1904.32,12,4.1
2024-03-20,P1002,Beta Earbuds,1480.3,12,3.4
2024-03-20,P1003,Gamma Phone Case,393.46,20,3.7
2024-03-20,P1004,Delta Power Bank,994.13,8,4.1
2024-03-20,P1005,Epsilon Charger,771.11,13,5.0
2024-03-21,P1001,Alpha Watch,2074.01,4,5.0
2024-03-21,P1002,Beta Earbuds,1561.75,16,3.8
2024-03-21,P1003,Gamma Phone Case,417.44,19,4.6
2024-03-21,P1004,Delta Power Bank,1044.5,6,3.3
2024-03-21,P1005,Epsilon Charger,780.19,7,4.7
2024-03-22,P1001,Alpha Watch,2049.57,10,3.6
2024-03-22,P1002,Beta Earbuds,1488.02,10,5.0
2024-03-22,P1003,Gamma Phone Case,404.85,20,4.0
2024-03-22,P1004,Delta Power Bank,1022.12,3,4.0
2024-03-22,P1005,Epsilon Charger,816.26,7,2.9
2024-03-23,P1001,Alpha Watch,2056.17,19,4.5
2024-03-23,P1002,Beta Earbuds,1484.88,12,4.4
2024-03-23,P1003,Gamma Phone Case,416.52,30,3.3
2024-03-23,P1004,Delta Power Bank,965.91,7,3.1
2024-03-23,P1005,Epsilon Charger,765.65,8,3.0
2024-03-24,P1001,Alpha Watch,2012.85,8,3.5
2024-03-24,P1002,Beta Earbuds,1463.2,16,4.9
2024-03-24,P1003,Gamma Phone Case,417.37,25,4.2
2024-03-24,P1004,Delta Power Bank,1003.78,11,5.0
2024-03-24,P1005,Epsilon Charger,819.53,6,3.0
2024-03-25,P1001,Alpha Watch,2042.81,4,3.9
2024-03-25,P1002,Beta Earbuds,1481.69,13,3.2
2024-03-25,P1003,Gamma Phone Case,405.25,15,4.4
2024-03-25,P1004,Delta Power Bank,1036.06,10,3.3
2024-03-25,P1005,Epsilon Charger,765.11,11,3.8
2024-03-26,P1001,Alpha Watch,1909.25,7,3.8
2024-03-26,P1002,Beta Earbuds,1473.22,9,4.3
2024-03-26,P1003,Gamma Phone Case,418.89,21,3.7
2024-03-26,P1004,Delta Power Bank,1007.12,12,3.1
2024-03-26,P1005,Epsilon Charger,827.16,6,3.6
2024-03-27,P1001,Alpha Watch,1651.29,9,4.7
2024-03-27,P1002,Beta Earbuds,1467.8,20,3.5
2024-03-27,P1003,Gamma Phone Case,411.87,18,4.2
2024-03-27,P1004,Delta Power Bank,1037.19,9,5.0
2024-03-27,P1005,Epsilon Charger,776.31,13,4.1
2024-03-28,P1001,Alpha Watch,1933.61,13,5.0
2024-03-28,P1002,Beta Earbuds,1539.35,14,4.1
2024-03-28,P1003,Gamma Phone Case,393.37,14,2.9
2024-03-28,P1004,Delta Power Bank,1041.31,4,3.8
2024-03-28,P1005,Epsilon Charger,792.29,7,3.9
2024-03-29,P1001,Alpha Watch,1940.1,9,4.1
2024-03-29,P1002,Beta Earbuds,1564.98,9,3.7
2024-03-29,P1003,Gamma Phone Case,397.72,14,3.5
2024-03-29,P1004,Delta Power Bank,971.27,14,4.2
2024-03-29,P1005,Epsilon Charger,808.01,4,3.9
2024-03-30,P1001,Alpha Watch,1530.42,9,4.6
2024-03-30,P1002,Beta Earbuds,1573.72,11,3.2
2024-03-30,P1003,Gamma Phone Case,379.8,24,3.9
2024-03-30,P1004,Delta Power Bank,1033.05,12,3.4
2024-03-30,P1005,Epsilon Charger,813.49,14,4.2
2024-03-31,P1001,Alpha Watch,1943.38,12,4.1
2024-03-31,P1002,Beta Earbuds,1437.8,14,4.2
2024-03-31,P1003,Gamma Phone Case,410.29,19,4.7
2024-03-31,P1004,Delta Power Bank,1010.13,12,4.3
2024-03-31,P1005,Epsilon Charger,834.51,11,4.3
2024-04-01,P1001,Alpha Watch,2050.91,0,4.3
2024-04-01,P1002,Beta Earbuds,1493.93,16,4.2
2024-04-01,P1003,Gamma Phone Case,416.02,20,4.2
